# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
1.579053314474172566e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.077471372498692836e-61
1.638433645577981451e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.077199685102441230e-61
1.700046975206714706e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.076937909064781038e-61
1.763977275314041663e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.076685680548454313e-61
1.830311675620609321e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.076442649233392325e-61
1.899140582361931592e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.076208477803106381e-61
1.970557801501796348e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.075982841451401449e-61
2.044660666579113467e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.075765427408546551e-61
2.121550171362448054e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.075555934486086503e-61
2.201331107493027957e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.075354072639511174e-61
2.284112207303820924e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.075159562548039730e-61
2.370006292009325534e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.074972135210805659e-61
2.459130425468041267e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.074791531558765322e-61
